time,dew_pt,temp,VP,AH,pi_inc
1981-09-19,279.0093671428571,290.0209557142857,9.522131505849599,0.0070979699625932716,0.16052970647337267
1981-09-26,283.46043142857144,292.49460571428574,12.876412539125054,0.009537573459294627,0.28092698634423974
1981-10-03,279.50003428571426,289.63300999999996,9.932261419875081,0.007415722305292728,0.48158911948346816
1981-10-10,279.74548714285714,286.1118242857143,9.995648659370435,0.007563993471974443,0.16052970647337267
1981-10-17,281.4079771428572,284.9528957142857,11.219826215157337,0.008517761067660458,0.3611918396126011
1981-10-24,271.30431428571427,278.90416571428574,5.490819415693251,0.0042577666279811285,0.521721546149324
1981-10-31,276.5949085714286,282.94826,8.099663459724983,0.006188691939795771,0.3210594130100955
1981-11-07,276.01325428571425,281.4394585714286,7.772182104885023,0.005978598364791386,0.24079455974173408
1981-11-14,272.8211757142857,280.54189,6.213295771756623,0.004788035386295472,0.20066213313922843
1981-11-21,271.92902857142855,278.73673285714284,5.899442496260223,0.004561363344405043,0.40132426627845685
1981-11-28,270.6649814285714,275.5656542857143,5.221119540764803,0.004099899274144086,0.24079455974173408
1981-12-05,269.13380714285717,273.0128357142857,4.653831114944372,0.003691710356104914,0.40132426627845685
1981-12-12,271.53471285714284,276.0364814285714,5.498990176666909,0.004315209962991771,0.44145669288096256
1981-12-19,262.9464114285714,265.75865000000005,3.1630264020092094,0.0025534566702122854,0.3611918396126011
1981-12-26,265.1362828571429,269.9032542857143,3.5088443541845726,0.0028111481149245,0.521721546149324
1982-01-02,263.32128714285716,266.77569857142856,2.9576729156536987,0.002400651909893228,0.44145669288096256
1982-01-09,258.1101657142857,262.5075671428571,2.002530684020917,0.0016465596306693715,0.5618539727518296
1982-01-16,254.04388428571428,258.6295285714286,1.6509368802322995,0.0013609557103714,0.40132426627845685
1982-01-23,261.59502142857144,265.22667,2.7548966883916743,0.002236142055073986,0.3210594130100955
1982-01-30,265.39549714285715,270.3477757142857,3.5854373592195796,0.0028621288832313715,0.3210594130100955
1982-02-06,255.3285242857143,259.7248142857143,1.7149610370454822,0.0014159143425147571,0.5618539727518296
1982-02-13,259.00303285714284,263.13747,2.1564485675593,0.0017688325558483716,0.44145669288096256
1982-02-20,271.4941914285714,277.3561057142857,5.505513583899972,0.0043001650032295285,0.3210594130100955
1982-02-27,268.3979828571429,275.2875514285714,4.573639105238021,0.0035796582929906143,0.44145669288096256
1982-03-06,266.4798514285714,271.23351142857143,3.9582194601131975,0.0031406891810118855,0.5618539727518296
1982-03-13,267.00669285714287,274.1413657142857,4.078245673986084,0.0032082894019462714,0.6019863993543352
1982-03-20,273.8560557142857,278.46164857142855,6.63063975157562,0.005155389380154843,0.8829133857619251
1982-03-27,266.5487557142857,274.55836857142856,3.8514473593864613,0.0030358536200102283,0.3210594130100955
1982-04-03,270.9647614285714,281.06580142857143,5.505983297374706,0.004234168716651071,0.3210594130100955
1982-04-10,266.51149714285714,272.65864285714287,3.7824615438179547,0.003004929330248257,0.642118826020191
1982-04-17,275.0228771428571,285.34090428571426,7.262337320823322,0.005500984283451629,0.3611918396126011
1982-04-24,269.13579571428573,281.9367342857143,4.706383005090982,0.0036078020608923717,0.28092698634423974
1982-05-01,276.0443542857143,282.47897,7.62468249137216,0.005846985229060143,0.40132426627845685
1982-05-08,278.3348328571429,287.19595142857145,9.332986659282142,0.0070163701427876715,0.24079455974173408
1982-05-15,283.59111285714283,288.25869,12.809787210265512,0.009633917075388498,0.16052970647337267
1982-05-22,283.65796714285716,288.0173142857143,12.932227883715056,0.0097223686664517,0.24079455974173408
1982-05-29,284.37494857142855,288.53236,13.505610067745755,0.010138349951136086,0.24079455974173408
1982-06-05,281.20115142857145,286.22121142857145,11.053755045222658,0.008360643060352429,0.6019863993543352
1982-06-12,282.57882714285716,290.04760428571427,12.064932371844176,0.009007479265512227,0.12039727987086704
1982-06-19,285.0680114285714,290.24953,14.229212848456086,0.010617430743910456,0.3210594130100955
1982-06-26,286.2500885714286,292.42190142857146,15.344473524069173,0.011365586999290073,0.24079455974173408
1982-07-03,289.65875571428575,295.20335857142857,19.017010607715253,0.013958674238444413,0.15986910239438207
1982-07-10,288.63876571428574,295.8133971428571,17.8762925833858,0.0130869117830541,0.11990182679578655
1982-07-17,288.52794714285716,296.89863,17.753055942570164,0.012950883806097671,0.2398036535915731
1982-07-24,290.03877142857147,299.20537,19.473461594844014,0.014100721795057973,0.15986910239438207
1982-07-31,289.10902285714286,296.5206471428572,18.417416628658575,0.0134536583740355,0.2797709291901686
1982-08-07,290.59544285714287,299.0051042857143,20.25773859130042,0.014686652569911928,0.2398036535915731
1982-08-14,287.78191714285714,293.51703714285713,16.992882790550098,0.0125322705855126,0.2797709291901686
1982-08-21,290.69762,296.95552142857144,20.27772760484797,0.014795492559245412,0.3597054803873596
1982-08-28,287.2074671428571,294.01219,16.296536382410828,0.012004381730664971,0.4396400315845507
1982-09-04,288.18525,296.08198285714286,17.545334472304052,0.012834001631695572,0.2398036535915731
1982-09-11,287.4141714285714,295.1459457142857,16.473654061428185,0.01209946862219444,0.3597054803873596
1982-09-18,282.5451857142857,286.50793714285714,12.00112525438396,0.009070270661540258,0.19983637799297757
1982-09-25,279.44063714285716,287.0574957142857,9.70183004803167,0.007317100576831799,0.6394764095775283
1982-10-02,282.2706214285714,289.3355728571429,11.738318491393082,0.008793474995834601,0.3597054803873596
1982-10-09,280.1323357142857,286.28130428571427,10.309457562030897,0.0077932585376515135,0.15986910239438207
1982-10-16,275.6699371428571,281.65004714285715,7.501425477521585,0.0057628591781648435,0.3597054803873596
1982-10-23,274.55264857142856,281.0830385714286,7.035462527122129,0.005404824562382928,0.2797709291901686
1982-10-30,275.6757985714286,284.1188514285714,7.529863304769054,0.0057375688781251145,0.31973820478876414
1982-11-06,270.67902571428573,276.93175142857143,5.68058832051049,0.004412790874659328,0.2797709291901686
1982-11-13,272.3240957142857,276.2510842857143,6.1292313248876615,0.004791076537328643,0.3597054803873596
1982-11-20,269.9094042857143,274.6469971428572,5.165739370301002,0.004056463032723228,0.39967275598595514
1982-11-27,265.75942571428567,271.0578571428572,3.6736352326798425,0.002928065951305329,0.3597054803873596
1982-12-04,271.47792428571427,276.26003000000003,5.530741980099528,0.004333207037008629,0.31973820478876414
1982-12-11,265.39693714285715,270.3835,3.6066931865791685,0.002879639197920343,0.19983637799297757
1982-12-18,267.4587257142857,272.8985014285714,4.113871161345339,0.003261503285784843,0.31973820478876414
1982-12-25,269.3775314285714,274.5488642857143,4.765571704707005,0.0037573837067006568,0.5195745827817416
1983-01-01,260.39619285714286,263.8485028571428,2.399475074052183,0.0019646659758782,0.7194109607747192
1983-01-08,267.2188228571428,270.35206285714287,4.078227806275586,0.0032589654742233146,0.2398036535915731
1983-01-15,267.2679185714286,273.0981342857143,4.050029108528638,0.0032100230520162427,0.4396400315845507
1983-01-22,264.8355385714286,268.49528571428567,3.337722013198428,0.0026916204051967004,0.5595418583803372
1983-01-29,268.23076,271.28216000000003,4.379374463437345,0.0034912496711151284,0.39967275598595514
1983-02-05,264.16355857142855,267.2289314285714,3.2540729781375326,0.0026314313255656856,0.8393127875705058
1983-02-12,266.47842142857144,270.36024428571426,3.8672712355145493,0.003090927852198743,0.8792800631691013
1983-02-19,272.22622285714283,276.99983428571426,5.797187325115742,0.0045333298671755284,0.9991818899648879
1983-02-26,271.9699657142857,276.00377,5.690951860489094,0.0044660829721679,0.7993455119719103
1983-03-05,277.3936557142857,282.48952285714284,8.570109958820256,0.006565754634704843,0.4396400315845507
1983-03-12,268.93773285714286,275.1491371428571,4.742727249621329,0.0037222759691431856,0.7194109607747192
1983-03-19,271.2830714285714,275.1598242857143,5.493007750061648,0.004313254353871528,0.4396400315845507
1983-03-26,267.61413285714286,270.6537014285714,4.2676110983271505,0.0034057930288727144,0.5995091339789327
1983-04-02,271.03877714285716,275.33928000000003,5.358832722782864,0.004210162947847386,0.5195745827817416
1983-04-09,269.0086957142857,273.4020885714286,4.568665282157055,0.003620313570453614,0.5995091339789327
1983-04-16,270.2807685714286,275.4742171428571,5.147078577597156,0.004038714873431372,0.7593782363733147
1983-04-23,275.66101142857144,281.68192714285715,7.580797735259757,0.005822947352821543,0.3597054803873596
1983-04-30,276.6988885714286,283.5943542857143,8.032755331100864,0.006136520800738657,0.5195745827817416
1983-05-07,278.0868357142857,284.1583657142857,8.882819029929182,0.006766264039750129,0.4396400315845507
1983-05-14,278.6108185714285,285.68881142857146,9.35185836184389,0.0070793568754577854,0.4396400315845507
1983-05-21,277.43972571428566,282.6089014285714,8.48877713402897,0.006505667247793857,0.2398036535915731
1983-05-28,281.66067000000004,289.97915,11.31265412085779,0.008444583407005756,0.31973820478876414
1983-06-04,279.28195285714287,286.95946428571426,9.76250546043993,0.007362450862016043,0.39967275598595514
1983-06-11,282.8465985714286,289.91569142857145,12.484365331443986,0.009310573733793372,0.19983637799297757
1983-06-18,285.68461142857143,291.3166885714286,14.874538978938725,0.011056995073121386,0.31973820478876414
1983-06-25,290.8181242857143,297.0400757142857,20.447826062282616,0.014913986562342342,0.19983637799297757
