time,dew_pt,temp,VP,AH,pi_inc
1981-06-06,296.1431228571428,298.7163657142857,28.38134346095305,0.02058618074856606,0.0728920922326982
1981-06-13,297.2417457142857,300.23587428571426,30.298171230187368,0.021866055927901085,0.05607084017171269
1981-06-20,295.92972142857144,300.8499771428572,28.012845763567913,0.020174214559457098,0.061677924184148095
1981-06-27,295.95817,300.52646999999996,28.13286218838656,0.020282745601820657,0.0672850081965835
1981-07-04,295.34764428571424,299.7229357142857,27.05579985667963,0.019560774981617655,0.05450588796296685
1981-07-11,297.1614014285714,300.5309485714286,30.160340137731573,0.021743265789328014,0.05995647676159819
1981-07-18,296.8289728571429,302.0673914285714,29.558079133158174,0.021203347535485355,0.03270353276844151
1981-07-25,297.03888428571423,303.2284071428571,29.932620253623266,0.021389172196403534,0.02180235519452534
1981-08-01,296.73925,301.5254614285714,29.421066003584652,0.021142752964231227,0.049055299164335514
1981-08-08,296.6908885714285,301.27299714285715,29.33000968620681,0.02109348660015303,0.03270353276844151
1981-08-15,294.92064999999997,301.45290857142857,26.471190569366005,0.019021698696203713,0.08175883193277703
1981-08-22,295.5102257142857,300.6126885714286,27.45599795429739,0.01978146145847067,0.05450588796296685
1981-08-29,295.17745428571425,300.29537857142856,26.766482905144507,0.019314379589014156,0.049055299164335514
1981-09-05,296.62767285714284,299.4292814285714,29.229292372504904,0.021151669353551915,0.038154121567072846
1981-09-12,291.8568442857143,298.4674442857143,21.927622776981234,0.015913520646034372,0.049055299164335514
1981-09-19,290.21512714285717,295.7474014285714,20.941491761910697,0.015289422515213502,0.038154121567072846
1981-09-26,290.26091142857143,296.7633228571429,19.939289516049833,0.014541589489040512,0.05995647676159819
1981-10-03,291.0492157142857,298.3744785714286,21.12753046693131,0.015329892205176271,0.02725294396981018
1981-10-10,292.3886042857143,296.1115085714286,22.656341363136505,0.016568381271010187,0.08720942073140837
1981-10-17,292.6665828571428,296.80163285714286,22.943852587640468,0.016749039519928784,0.07630824313414569
1981-10-24,282.33707571428573,289.84692714285717,12.374068763761898,0.009221791567835657,0.06540706556022953
1981-10-31,285.2931642857143,289.0081557142857,14.562377381058893,0.01090154716455403,0.04360471036570419
1981-11-07,287.3522385714286,290.69967285714284,16.58637775705004,0.012354170286081415,0.02725294396981018
1981-11-14,282.70043428571427,287.6072442857143,12.134130015328342,0.009136727440686871,0.038154121567072846
1981-11-21,283.67078,288.82883571428573,13.697516173190674,0.010228828267474498,0.08175883193277703
1981-11-28,285.3747142857143,289.7037842857143,14.804689796918591,0.011044233732003085,0.06540706556022953
1981-12-05,280.70910714285714,287.2689057142857,11.41542086867417,0.008566192155319757,0.05995647676159819
1981-12-12,279.82028142857143,285.65968571428573,10.230236814734988,0.007744375043166914,0.07085765433551436
1981-12-19,276.0458628571428,280.9848471428571,8.289137815540542,0.006360088716420201,0.0926600095300397
1981-12-26,278.4085414285714,282.76919,9.899621150489025,0.007525992235687485,0.08175883193277703
1982-01-02,281.02349857142855,285.1481871428572,11.183776823729536,0.008481921738550271,0.1090117759259337
1982-01-09,279.43219,285.1749,11.124342426046104,0.008376318372018786,0.14716589749300654
1982-01-16,268.02176714285713,274.12163571428573,4.725711874714603,0.003714632297054529,0.07630824313414569
1982-01-23,283.8635442857143,287.1522157142857,15.042193885399598,0.011236647738392558,0.08175883193277703
1982-01-30,279.7630757142857,285.2662514285715,10.650648966005464,0.00804500265703553,0.08720942073140837
1982-02-06,277.1311428571429,281.40529000000004,8.438875275790673,0.006483228152465942,0.08175883193277703
1982-02-13,274.9335742857143,280.02883857142854,7.442749026954577,0.005737012098646086,0.06540706556022953
1982-02-20,284.16285857142856,287.38182714285716,13.617195621470898,0.010243967425874315,0.07630824313414569
1982-02-27,281.64106000000004,286.50914714285716,11.425715153638672,0.008618447503207557,0.06540706556022953
1982-03-06,281.4925485714286,285.66335714285714,11.382392690635843,0.008612657147682059,0.1253635422984812
1982-03-13,282.87025714285716,287.4028028571429,13.339849765755417,0.009981469329291713,0.13081413109711254
1982-03-20,292.3141857142857,295.8598542857143,22.4314152433822,0.016427382418084686,0.08175883193277703
1982-03-27,284.45916714285715,289.2909585714286,14.436186438232093,0.010767903070250886,0.0926600095300397
1982-04-03,287.01178571428574,291.28258857142856,16.996557571401677,0.012585951710173914,0.11446236470121854
